model_id,isDescribable,description
00076875,True,A flat rectangular plate.
00070942,True,A cylindrical ring with a groove around its circumference.
00080043,True,A rectangular block with a tapered end.
00051612,True,"A long, tapered rectangular block with a notch on one end."
00106873,True,A flat L-shaped bracket with multiple holes for mounting.
00096490,True,A flat L-shaped bracket with five circular holes.
00012924,True,An L-shaped bracket with a circular hole on each arm.
00096762,True,A rectangular block with three stepped rectangular cutouts on one side.
00063175,True,A cylindrical object with two grooves and a central through hole.
00034008,True,A cylindrical rod with a conical tip and a flanged base.
00093603,True,"A cylindrical rod on top of a flat circular disc, attached to a wedge-shaped base."
00025153,True,A flat rectangular plate with four holes.
00030430,True,A cylindrical object with a central hole and flat ends.
00089139,True,A rectangular block with a stepped base and a protruding tab on one side.
00043483,True,A rectangular block with a wedge-shaped end.
00020618,True,A cylindrical rod with a flanged base and a stepped top.
00068237,True,A cylindrical rod with a circular flange and a mounting bracket with a hole.
00085455,True,A rectangular block with a cylindrical protrusion on one side.
00062715,True,A flat triangular plate with a central vertical support and a sloped base.
00076636,True,A rectangular block with a triangular prism on top.
00105675,True,A rectangular block with four cylindrical protrusions on one face.
00056428,True,A cylindrical rod with two flanges.
00051515,True,A flat square plate with a central circular cutout and two smaller holes.
00024468,True,A flat square plate.
00066493,True,A rectangular block with a stepped cutout on one side.
00045688,True,A rectangular block with a tapered end.
00050358,True,A tapered rectangular block.
00052624,True,A flat rectangular plate with a raised rectangular block and two circular holes.
00060363,True,An L-shaped rod with a short perpendicular extension at one end.
00031019,True,A rectangular frame with a wide base flange.
00039003,True,A wedge-shaped block with a flat base and sloped top.
00096081,True,A flat rectangular plate with a hexagonal cutout at one end.
00032555,True,A cylindrical disc with a central hole and a raised circular section.
00070738,True,A cylindrical block with a flat base and a central through hole.
00016936,True,A hollow cylindrical cup with a thick base.
00086395,True,"A thick, Z-shaped block with a consistent thickness."
00077239,True,A rectangular block with a cylindrical rod on top and a circular hole through the block.
00014244,True,A cylindrical rod with a flat top and a slightly tapered base.
00067343,True,A rectangular block with a U-shaped cutout and a recessed groove on one face.
00021157,True,A rectangular bracket with a central circular hole and a stepped cutout.
00078788,True,A bracket-like component with a curved hook and a mounting hole.
00042506,True,A rectangular block with a tapered end and a smaller rectangular section on top.
00051472,True,A flat rectangular plate with small notches on the edges.
