model_id,isDescribable,description
00018258,True,A hexagonal block with a central circular hole.
00014086,True,A C-shaped clip with a rectangular cutout.
00019488,True,A cylindrical rod with a flanged base.
00012291,True,A circular ring with a protruding conical tip.
00019664,True,A spool-shaped object with a central hole.
00013445,True,A flat rectangular plate.
00011960,True,A cylindrical body with a central rod and a flanged base with bolt holes.
00018298,True,A conical cup with a handle and a hole in the base.
00018726,True,A hollow conical tube with a circular opening at each end.
00012086,True,A rectangular block.
00015602,True,A rectangular block with a cylindrical protrusion on top.
00011634,True,A rectangular block with a circular hole and a cylindrical protrusion on one face.
00016061,True,A cylindrical disc with a central hole and a groove around its circumference.
00019525,True,A tapered cylindrical cup with a central hole at the base.
00018561,True,A three-pronged fork with a long handle and a flanged base.
00013708,True,A cylindrical disc with a central hole and a groove around its circumference.
00019797,True,A cylindrical rod with a conical tip and a square flanged base.
00016226,True,An L-shaped flat plate with a sloped edge.
00017591,True,"A flat, square plate."
00018122,True,A cylindrical rod with a flanged base and a conical tip.
00010925,True,A cylindrical bushing with a flanged base and a central hole.
00015760,True,A tapered cylindrical rod with a hole through the center and side holes.
00019487,True,A cylindrical disc with a central circular indentation.
00017135,True,A square pyramid with a circular hole through the center.
00015867,True,A cylindrical sleeve with a partial side cutout.
00010565,True,A hollow cylindrical tube.
00010531,True,A flat bracket with a rectangular block on top and a circular hole.
00013526,True,A cylindrical rod with a conical tip and a flanged base.
00019679,True,A cube with a triangular prism on top of one face.
00019486,True,A hollow cylindrical rod with a conical tip.
00014113,True,A conical frustum with a central through hole.
00012869,True,A cylindrical rod with a hexagonal head and a flanged base.
00018315,True,A cylindrical rod with a flanged base.
00015618,True,A square frame with a hollow center.
00016808,True,A tapered cylindrical tube with a flanged base and a hollow interior.
00011726,True,A cylindrical pulley with a central hole and flanged edges.
00013889,True,A rectangular block with a smaller rectangular protrusion on top.
00015417,True,A cylindrical sleeve with a flanged end and multiple holes.
00013232,True,A bolt with a hexagonal head and a separate hexagonal nut.
00015757,True,A cylindrical rod.
00013305,True,"A bracket with a vertical plate and a perpendicular base, featuring a circular hole."
00016893,True,A thick ring or washer.
00016797,True,A cylindrical rod with a conical tip and a flanged base.
00017327,True,A rectangular block with a stepped top surface.
00019190,True,A rectangular frame.
00011471,True,A flat rectangular plate.
00019733,True,A hexagonal plate.
00013007,True,A rectangular block with a stepped cutout and an L-shaped profile.
00014059,True,A flat rectangular plate.
00019270,True,A stepped rectangular block with multiple levels.
00011163,True,A cylindrical sleeve with a central through hole.
00014192,True,A wheel-like object with a central hub and a grooved outer rim.
00012713,True,A thick disc with a central hole.
00017593,True,A rectangular block.
00010407,True,A rectangular block with a trapezoidal prism on top.
00019354,True,A cylindrical rod with a conical tip and a flanged base.
00019748,True,A hollow cone.
00018727,True,A cylindrical rod with a conical tip and a flanged base.
00018169,True,A rectangular frame.
00018610,True,A cylindrical tube with a flanged base and a conical tip.
00010415,True,A cylindrical rod with a central through hole.
00017515,True,A cylindrical bushing with a flanged end and a central hole.
00012874,True,A cube with a triangular prism on top.
00019744,True,A tapered rod with a hole at the wider end.
00017811,True,A hollow cone.
00013207,True,A flat rectangular plate.
00015279,True,A cone.
00019021,True,A thin ring.
00010210,True,A cylindrical rod with a hollow center and a flanged base.
00011695,True,A cylindrical component with a central hole and a flanged section.
00015456,True,A rounded rectangular block with a hole and notched edges.
00018967,True,A toroidal ring.
00010628,True,A long cylindrical rod.
00012991,True,An L-shaped bracket.
00011599,True,A rectangular block with a sloped top and a through hole.
00010629,True,A tapered cylindrical rod.
00017239,True,A T-shaped pipe connector.
