model_id,isDescribable,description,token_count
00016984,True,A rectangular block with a central through hole and a U-shaped cutout at one end.,888
00017069,True,A U-shaped bracket with two mounting holes and a flat base.,888
00011305,True,"A shallow, curved rectangular dish with a flat base and raised edges.",888
00015143,True,A tapered cylindrical rod with a central groove.,888
00012287,True,A ring with a triangular pyramid on top.,888
00018370,True,A U-shaped bracket with a flat base and two mounting holes.,888
00013431,True,A flat rectangular bar with three evenly spaced rectangular cutouts along one edge.,888
00015199,True,A flat circular lid with two rectangular mounting tabs and a central recessed feature.,888
00019296,False,N/A,888
00012618,True,A cylindrical sleeve with a recessed base and a small rectangular cutout on the side.,888
00019785,True,A rectangular block with beveled edges.,888
00014956,True,A U-shaped bracket with a vertical mounting block and a central hole.,888
00014753,True,A rectangular block with a recessed rectangular cavity and an extended tab on one side.,888
00017749,True,A square bracket with a central circular hole and a mounting tab with holes.,888
00015184,True,A rectangular block with a small circular hole on one face.,888
00017084,True,A U-shaped bracket with mounting holes on flat bases.,888
00018201,True,A cylindrical bracket with a flat mounting base and a curved support.,888
00018663,True,A shallow cylindrical container with a perforated lid and a recessed interior.,888
00019852,True,A cylindrical wheel with a central hub and three circular holes.,888
00012810,True,"A long, flat, angled bracket with multiple holes along its length.",888
00014257,True,A hollow cylindrical container with a tapered body and a central hole at the bottom.,888
00011552,True,A rectangular block with a triangular prism on top.,888
00013633,True,A rectangular block with a cylindrical rod protruding from one face and four corner holes.,888
00017020,True,A rectangular block with two rounded rectangular through holes and a notched top edge.,888
00019729,True,A curved hollow shell mounted on a rectangular base.,888
00015561,True,An L-shaped profile with a stepped cutout and a flat base.,888
00017602,True,A square bracket with a central circular hole and a mounting tab with holes.,888
00017372,True,A bracket with a central cylindrical hole and two mounting flanges.,888
00018973,True,"A semi-cylindrical block with a flat back, featuring a large circular hole and a stepped edge.",888
00019503,True,A flat rectangular plate with three circular cutouts and one rectangular cutout.,888
00016857,True,"A chair-like structure with a flat seat, vertical backrest, and multiple vertical rods extending from the back.",888
00015671,True,A rectangular block with multiple circular holes of varying sizes.,888
00010832,True,A cylindrical bushing with a central hole and a flange at one end.,888
00018339,True,An L-shaped bracket with a protruding rectangular tab and a stepped feature.,888
00010109,True,A rectangular block with a cylindrical protrusion and two circular holes on one face.,888
00016676,True,A bracket with a vertical backplate and two horizontal mounting flanges.,888
00015173,True,A rectangular block with rounded edges and a central through hole.,888
00012396,True,A circular disc with concentric raised features and a central protruding cylindrical hub.,888
00016313,True,A rectangular block with two notched sides.,888
00013809,True,A circular ring with two rectangular protrusions and internal cutouts.,888
00016883,True,A square base with a central raised dome and cylindrical extensions on two sides.,888
00011563,True,A rectangular block with a cylindrical hole through one face.,888
00011481,True,A vertical rectangular block with a flared base and two side extensions.,888
00015687,True,A long cross-shaped rod with a consistent profile.,888
00014464,True,A cylindrical rod with a flanged end and a central through hole.,888
00013940,True,A rectangular block with a central cylindrical rod and a square base with four corner holes.,888
00013629,True,A long cylindrical rod with a flange and a threaded end.,888
00019091,True,"A series of flat circular washers with central holes, arranged in increasing size.",888
00016380,True,A semi-circular ring with a rectangular tab on one end.,888
00014482,True,A flat circular lid with a rectangular extension and a central recessed feature.,888
00012626,True,A T-shaped pipe connector with three cylindrical openings.,888
00018496,True,A flat rectangular plate with two vertical rods on one side.,888
00017460,True,A U-shaped bracket with mounting holes on flat bases.,888
00014121,True,A square plate with a central square cutout and two raised features on top.,888
00011539,True,An L-shaped bracket with a hole on one end.,888
00017045,True,A rectangular block with multiple circular holes on its faces.,888
00016426,True,A rectangular block with a stepped edge and a recessed groove along one side.,888
00016407,True,An arrow-shaped flat object with a circular hole at the tail and a rectangular slot along the shaft.,888
00019824,True,"A flat, oval-shaped flange with a central circular hole and two smaller holes on the sides.",888
00015887,True,A tapered cylindrical rod with a rounded end.,888
00019674,True,A rectangular frame with internal cutouts and open ends.,888
00017638,True,A rectangular block with a central hole and two perpendicular rectangular extensions.,888
00010609,True,A cylindrical rod with a tapered end and a mounting hole.,888
00015386,True,A U-shaped bracket with a flat base and vertical side flanges.,888
00012355,True,A cylindrical base with a vertical rectangular block featuring a central slot.,888
00014649,True,A small rectangular table with four cylindrical legs.,888
00013487,True,A cylindrical cup with external vertical tabs and a recessed base.,888
00010633,True,A T-shaped bracket with a central circular hole and a vertical slot.,888
00018256,True,A square plate with four cylindrical pegs on top and a central recessed feature underneath.,888
00012245,True,A tapered square column with a central circular hole through its top face.,888
00012166,True,A hemispherical base with two vertical rectangular tabs and a central circular indentation.,888
00015027,True,A rectangular block with a cylindrical protrusion and a rectangular cutout.,888
00014759,True,"A bracket with two vertical plates on a rectangular base, featuring a sloped connecting section.",888
00013167,True,A cylindrical flange with a central hole and three mounting holes.,888
00017950,True,"A curved, hollow, symmetrical pipe section with flared ends and a central bulge.",888
00012092,True,A circular ring with a crossbar and a protruding pin.,888
00018247,True,A hexagonal prism with a central hole and two side holes.,888
00018596,True,A flanged cylindrical hub with multiple bolt holes and a central hole.,888
00014771,True,An L-shaped bracket with a rectangular cutout and stepped features.,888
00017288,True,A U-shaped bracket with two circular holes on the base and extended side flanges.,888
00012753,True,A cylindrical connector with a central hole and a flange.,888
00019379,True,A rectangular base with an angled cylindrical rod mounted on a vertical rectangular support.,888
00017373,True,A U-shaped bracket with mounting holes on a flat base.,888
00012823,True,A U-shaped bracket with a central circular hole and flat mounting surfaces.,888
00018751,True,A hexagonal tapered nut with a central through hole.,888
00014767,True,A hemispherical cap with four circular cutouts and a central hexagonal recess.,888
00014084,True,"A curved, hollow rectangular beam segment.",888
00015341,True,"A bracket with a flat base, two vertical supports, and a curved central feature.",888
00018002,True,"A flat, elongated oval plate with multiple circular holes.",888
00019734,True,A rectangular block with a central slot and two through holes.,888
00012596,True,An oval-shaped block with rounded edges and a flat top and bottom.,888
00011744,True,A square plate with rounded corners and nine evenly spaced holes.,888
00017108,True,A bracket with a central cylindrical hole and two mounting flanges with holes.,888
00018106,True,A cylindrical disc with a central hole and multiple surrounding holes.,888
00016581,True,A cylindrical rod.,888
00016666,True,A flat circular lid with a slightly raised edge and multiple small holes around the perimeter.,888
00012645,True,A triangular bracket with a rectangular base and a cutout.,888
00013522,True,A cylindrical rod with a flared base and a recessed top.,888
00017303,True,A U-shaped bracket with mounting holes on the base.,888
00019221,True,A cylindrical bolt with a hexagonal socket head and a threaded shaft.,888
00012907,True,A circular ring with an inner groove and a small cylindrical protrusion.,888
00014611,True,An L-shaped bracket with a central circular hole.,888
00019749,True,A flat circular lid with two rectangular mounting tabs and a central recessed feature.,888
00018640,True,A cylindrical flange with multiple holes and a central raised hub.,888
00015939,True,A flat circular lid with a hexagonal base and small holes at each corner.,888
00016624,True,A gear-like object with six rectangular protrusions and a central hole.,888
00013668,True,A hexagonal bolt head with a conical top and a cylindrical shaft.,888
00013559,True,An L-shaped bracket with multiple holes for mounting.,888
00019032,True,"A cylindrical component with a central hole, a flange, and a tapered section.",888
00016616,True,A cylindrical object with a slightly tapered shape.,888
00018970,True,A cylindrical rod with a hexagonal socket head.,888
00017344,True,A block with a central circular hole and a sloped base.,888
00018536,True,A tapered rod with a rectangular paddle-like end.,888
00017346,True,A right-angled bracket with a central circular hole and a stepped base.,888
00011251,True,A flat semi-circular plate connected to a triangular plate with a notch.,888
00017745,True,A rectangular block with a central cylindrical rod and four corner holes on one face.,888
00012812,True,A cylindrical rod with a flanged end.,888
00015686,True,A flat octagonal plate with multiple holes and a central recessed feature.,888
00017939,True,A cylindrical ring with an internal groove and two small cutouts.,888
00019645,True,A square flange with a central circular hole and four corner mounting holes.,888
00012161,True,A rectangular block with two protruding tabs and two circular holes on the top surface.,888
00016043,True,A square cup with a handle.,888
00011128,True,A cylindrical bearing with an inner circular cutout and a recessed groove.,888
00013000,True,A cylindrical base with a flower-shaped top and a central rectangular indentation.,888
00014920,True,A rectangular block with a central rectangular cutout and four circular holes around it.,888
00012228,True,"A flat, thick letter 'P' shaped object.",888
00011625,True,A flat rectangular plate with a small square cutout near one corner.,888
00010078,True,A teardrop-shaped bracket with a central circular hole and a smaller hole at the narrow end.,888
00011284,True,A flat rectangular plate with four protruding round knobs at the corners.,888
00015260,True,A tapered block with rounded edges and two through holes.,888
00017011,True,A bent rod with a flat mounting plate featuring a central hole.,888
00017153,True,A bracket with a central cylindrical hole and two mounting holes on a flat base.,888
00010225,True,A square flange with a central cylindrical protrusion and four corner holes.,888
00016767,True,A circular ring with two opposing rectangular tabs and a central hole.,888
00014691,True,A cylindrical peg with a flared head and a central hole.,888
00017064,True,A U-shaped bracket with two circular holes on the base.,888
00014572,True,A cylindrical base with a vertical rectangular block featuring a circular hole.,888
00011757,True,A square plate with rounded corners and multiple through holes.,888
00012292,True,A circular ring with a triangular arrowhead feature on one side.,888
00012346,True,A hollow square-based pyramid with internal oval cutouts.,888
00016881,True,A hexagonal prism with a central cylindrical rod and a top circular indentation.,888
00015734,True,A tapered cylindrical block with a central through hole and two side holes.,888
00017715,True,A cylindrical bushing with a central hole and a notched groove on the outer surface.,888
00011808,True,A flat square plate with multiple circular holes and a central square cutout.,888
00016147,True,A circular flange with a central hole and multiple smaller holes around the perimeter.,888
00011096,True,A cylindrical flange with a central hole and multiple bolt holes around the perimeter.,888
00019386,True,A cylindrical tube with a central seam.,888
00015674,True,A rectangular block with pointed ends and multiple holes along its length.,888
00019790,True,A cube with a cylindrical hole through the top face.,888
00019230,True,A clamp-like bracket with a circular opening and mounting holes.,888
00011304,True,A flat rectangular beam with two angled support legs.,888
00015370,True,A funnel-shaped container with a spout on one side and a circular hole near the top.,888
00014220,True,A ladle with a long handle and a shallow bowl.,888
00019353,True,A cylindrical pipe connector with a flanged base and multiple bolt holes.,888
00017755,True,"A cylindrical body with a flat circular top and an extended tab, featuring a central hole.",888
00019259,True,An L-shaped bracket with multiple holes for mounting.,888
00011636,True,A tapered block with a semi-circular cutout and a cylindrical base.,888
00013774,True,A hexagonal nut with a cylindrical extension and a central threaded hole.,888
00011746,True,A T-shaped bracket with five circular holes.,888
00014695,True,A cylindrical peg with a flared top and a recessed groove.,888
00011785,True,"A flat, rounded rectangular plate with multiple holes and a large central cutout.",888
00016977,True,Two intersecting flat rectangular plates forming a cross shape.,888
00014077,True,A zigzag-shaped bracket with a rectangular base and a protruding hook.,888
00017763,True,A bracket-like component with a curved hook and a mounting hole.,888
00013523,True,A cylindrical rod with a flanged head and a hexagonal recess.,888
00011939,True,A hex socket head bolt with a cylindrical shaft.,888
00018027,True,A tapered rod with a pointed tip and fin-like structures at the opposite end.,888
00014232,True,A cylindrical wheel with a central hub and two through holes.,888
00010627,True,A long rectangular bar with a stepped profile and small protrusions at each end.,888
00010256,True,A cylindrical connector with a flared top and a recessed central section.,888
00012254,True,"A vertical bracket with a flat base, two mounting holes, and a central upright arm with a hole at the top.",888
00017114,True,A bracket with a central cylindrical hole and two mounting tabs with holes.,888
00018007,True,A clamp-like bracket with a circular opening and mounting holes on flanges.,888
00019755,True,A conical flask with a cylindrical neck and a side spout.,888
00013061,True,A cylindrical rod with a circular flange and a rectangular mounting tab.,888
00017804,True,A hollow cube with a square opening on top and a protruding rectangular tab on one side.,888
00012720,True,A curved panel with mounting tabs and slots.,888
00016852,True,A rectangular paddle with a cylindrical handle and a flared transition.,888
00018921,True,A cylindrical connector with flanges and through holes.,888
00014755,True,A wedge-shaped block with a central vertical slot and a flat base.,888
00018412,True,A square base with a central cylindrical rod and four corner holes.,888
00016366,True,A triangular prism with a central circular hole through its faces.,888
00014822,True,A circular flange with a central cutout and two mounting holes.,888
00017062,True,"A bracket with a central circular hole, two mounting tabs, and a sloped support.",888
00017089,True,A bracket with a central cylindrical hole and two mounting holes on a flat base.,888
00011432,True,An L-shaped bracket with a notch and a protruding tab.,888
00011783,True,A flat square plate with multiple circular holes and a central square cutout.,888
00017208,True,A flat rectangular plate with a small rectangular block attached at one end.,888
00012236,True,A V-shaped bracket with tapered arms.,888
00011433,True,A T-shaped flat bracket with a slot near the bottom.,888
00013022,True,An oval-shaped bracket with two circular holes of different sizes.,888
00017391,True,A bracket with a central cylindrical hole and two mounting holes on a flat base.,888
00019222,True,A cylindrical rod with a flanged end and a central hole.,888
00011449,True,A U-shaped bracket with a central hole and an angled back support.,888
00016395,True,An arrow-shaped flat object with a circular base and a central hole.,888
00010338,True,A rectangular block with two cylindrical protrusions on one face and sloped sides.,888
00011826,True,A tapered flat bar with evenly spaced holes along its length.,888
00018183,True,A wedge-shaped block with a cylindrical hole through one face and a recessed circular feature on the opposite face.,888
00010530,True,"A bracket with a vertical circular tab featuring a central hole, mounted on a rectangular base with a stepped underside.",888
00019963,True,An L-shaped bracket with a circular hole and a curved hook feature.,888
00017324,True,A bracket-like structure with a central circular hole and a stepped profile.,888
00017762,True,A curved bracket with a cylindrical hole and a hook-like end.,888
00014726,True,A cylindrical rod with flanges at both ends and two mounting tabs on the side.,888
00019456,True,A wedge-shaped block with a large circular hole and a smaller hole on the top surface.,888
00010507,True,A stepped cylindrical rod with a tapered section.,888
00012943,True,A rectangular bracket with a central cutout and raised side flanges.,888
00015565,True,An I-beam with a central web and flanges on both sides.,888
00015778,True,A cylindrical bracket with a flat mounting base featuring four holes.,888
00010396,True,A cylindrical pipe connector with a rectangular mounting base and two holes.,888
00011408,True,A curved bracket with multiple holes along its length.,888
00014135,True,A curved rectangular block with a hollow underside.,888
00011747,True,"A flat, rounded rectangular plate with multiple holes and a large central cutout.",888
00013598,True,"A cylindrical rod with a hexagonal head, resembling a bolt.",888
00018815,True,"A flat, elongated plate with four circular holes.",888
00017126,True,A wedge-shaped block with a central slot and two protruding rectangular tabs.,888
00014934,True,"A flat, irregularly shaped plate with a central cutout and extended edges.",888
00018637,True,A clamp-like bracket with a circular opening and mounting holes.,888
00012556,True,A cylindrical socket with a hexagonal recess and a flared outer rim.,888
00011986,True,"A flared funnel-like structure with a central hole and a wide, curved rim.",888
00011411,True,A circular disc with multiple holes of varying sizes and a central recessed area.,888
00016506,True,A cylindrical sleeve with a central through hole.,888
00010388,True,A rectangular block with a central square cutout and three circular holes.,888
00016947,True,A bracket with a central circular hole and a raised back support.,888
00011805,True,"A flat, irregularly shaped bracket with two circular holes and a central square cutout.",888
00018486,True,A rectangular block with a semi-circular cutout and a recessed channel on top.,888
00014055,True,A wedge-shaped block with a rounded top and a central through hole.,888
00013026,True,A tapered cylindrical rod with stepped sections.,888
00018049,True,A rectangular block with a cylindrical protrusion and an open slot on one side.,888
00013922,True,A cylindrical rod with two sets of rings and two perpendicular slots.,888
00011112,True,A rectangular block with a cylindrical protrusion and a circular cutout on one face.,888
00012898,True,A circular wheel-like object with a central hub and recessed features.,888
00013265,True,A hollow conical shape with a circular base and a pointed tip.,888
00016374,True,A rectangular block with two semi-circular grooves on the underside.,888
00013810,True,A circular ring with internal notches and a stepped profile.,888
00018123,True,A hollow square frame with rounded corners and sloped sides.,888
00010791,True,A flat circular lid with a central rectangular cutout and a raised rim.,888
00016089,True,An L-shaped bracket with a flat base and vertical support.,888
00010833,True,A flat circular disc with small holes near the edge.,888
00016287,True,A hollow cylindrical tube with a helical groove.,888
00013191,True,A curved bracket with a rectangular cutout and a sloped edge.,888
00011560,True,A rectangular block with a cylindrical protrusion on one side and a circular hole through the center.,888
00011817,True,A tapered rectangular bar with rounded edges and evenly spaced holes along its length.,888
00018896,True,A hollow cylindrical rod with a central through hole.,888
00011803,True,A tapered rectangular bar with rounded ends and multiple through holes.,888
00013646,True,A pentagonal prism with a partial enclosure on one side.,888
00012595,True,A rounded rectangular block with a slightly convex top and bottom.,888
00012934,True,A circular clamp with a cylindrical hinge and a triangular support structure.,888
00016996,True,A triangular mounting bracket with a cylindrical extension and multiple holes.,888
00019223,True,A cylindrical rod with a flanged end and a central hole.,888
00017595,True,A rectangular block with a central cylindrical rod and four corner holes on one face.,888
00017124,True,A U-shaped bracket with mounting holes on flat bases.,888
00019510,True,A flat rectangular plate with a horizontal groove across its surface.,888
00016238,True,A curved rectangular block with a tapered profile and notches on the sides.,888
00017110,True,A U-shaped bracket with two circular holes on the base.,888
00011262,True,A flat circular ring with a small hole on the outer edge.,888
00017393,True,A U-shaped bracket with two circular holes on the base and extended side flanges.,888
00012831,True,A tapered cylindrical rod.,888
00019173,True,"A thin, elongated rectangular plate with a slight central bend.",888
00017475,True,A flat rectangular plate.,888
00016268,True,A tapered rectangular plate with multiple circular holes along its length.,888
00017286,True,A U-shaped bracket with mounting holes on the base flanges.,888
00018660,True,A cylindrical rod with a flanged head and a recessed hexagonal socket.,888
00017161,True,A U-shaped bracket with two circular holes on the base and flanges on the sides.,888
00010386,True,"A flat rectangular plate with a large central cutout, a smaller circular hole near the top, and a notch at the bottom edge.",888
00014375,True,An L-shaped bracket with a circular hole on one face.,888
00018740,True,A cylindrical bushing with a flange and a central hole.,888
00018732,True,A cylindrical rod with tapered ends and a central through hole.,888
00017946,True,A tapered cylindrical rod with a rectangular extension and a hole at the wider end.,888
00017544,True,A conical flange with a cylindrical extension and a central through hole.,888
00016169,True,A curved bracket with a central hole and two mounting holes on the sides.,888
00016197,True,"A long, tapered cylindrical rod with pointed ends.",888
00018105,True,A circular disc with multiple through holes and a central recessed feature.,888
00010456,True,"A cylindrical component with a central hole, a recessed top, and two opposing notches on the rim.",888
00017997,True,A cylindrical bolt with a hexagonal socket head.,888
00013278,True,A tapered rectangular block with rounded edges and two small protruding pegs on one side.,888
00011700,True,A circular flange with a central hole and a recessed groove.,888
00010742,True,A flat rectangular plate with two rectangular protrusions on one side.,888
00019104,True,A U-shaped bracket with a long arm and mounting holes.,888
00015570,True,A flat rectangular base with two semi-circular arches on top.,888
00018911,True,A cylindrical ring with a recessed central section and a thicker outer rim.,888
00016379,True,A rectangular block with a stepped protrusion on one end.,888
00017246,True,A cube with rounded edges.,888
00011940,True,A hex socket head bolt with a cylindrical shaft.,888
00016081,True,An L-shaped bracket with a flat base and vertical support.,888
00011741,True,A cross-shaped bracket with four circular holes and a central hole.,888
00019119,True,A quarter-circle flat plate with uniform thickness.,888
00017353,True,A circular flange with a central hole and multiple smaller holes around the perimeter.,888
00016890,True,A tapered cylindrical connector with side holes and a central hollow section.,888
00015181,True,"A long, tapered cylindrical rod with pointed ends.",888
00010886,True,A cylindrical rod with a rectangular handle and a rounded scoop-like end.,888
00015689,True,A rectangular block with two circular holes and a central rectangular cutout.,888
00013531,True,A cylindrical component with a hexagonal section and a protruding rod.,888
00014408,True,A stepped cylindrical rod with a tapered section.,888
00010653,True,A stepped rectangular block with a protruding section and a cutout.,888
00017325,True,A U-shaped bracket with two holes on the base and raised side flanges.,888
00017480,True,A U-shaped bracket with mounting holes on each end.,888
00018877,True,A hollow cylindrical rod with a tapered section.,888
00015707,True,A cylindrical rod with multiple evenly spaced holes along its length.,888
00012639,True,A U-shaped bracket with a central hole and a flat base.,888
00016961,True,A flat circular ring with multiple evenly spaced holes around the perimeter.,888
00017050,True,A flat L-shaped bracket with a circular hook at one end.,888
00014891,True,A curved bracket with a cylindrical loop and a flat mounting base.,888
00014791,True,"A cylindrical component with a central rod, featuring rectangular cutouts and a recessed section.",888
00016264,True,A tapered rectangular plate with multiple circular holes in a row.,888
00015955,True,A rectangular plate with a central circular cutout and four corner holes.,888
00015475,True,A cylindrical bushing with a central cross-shaped cutout and a recessed top surface.,888
00011833,True,A tapered rectangular bar with rounded ends and multiple through holes.,888
00017102,True,An L-shaped bracket with a central circular hole and a recessed base.,888
00018243,True,A rectangular block with a cylindrical protrusion and a circular base.,888
00018286,True,A cylindrical container with a flat top and two protruding pins at the bottom.,888
00018661,True,A tapered hexagonal rod with a central through hole.,888
00011429,True,A flat circular disc with five large holes and a central cylindrical hub.,888
00010380,True,A cross-shaped bracket with circular cutouts and a central raised section.,888
00019428,True,An L-shaped bracket with multiple holes and a central slot.,888
00015753,True,A cylindrical block with a central hole and two side holes.,888
00017603,True,A cylindrical clamp with a semi-circular cutout and two mounting holes.,888
00011733,True,A U-shaped bracket with holes on each face.,888
00011409,True,A V-shaped bracket with a central circular base and multiple mounting holes.,888
00014515,True,A cylindrical rod with a hexagonal socket head.,888
00019469,True,"A rectangular box with a sloped top, featuring circular and rectangular cutouts on the sides.",888
00015629,True,A square flange with a central hole and four corner holes.,888
00011767,True,"A cross-shaped plate with four holes, one at each end of the cross arms, and a central hole.",888
00018379,True,An L-shaped bracket with a cylindrical hole and a curved hook feature.,888
00017131,True,A U-shaped bracket with two circular holes on the base and raised side flanges.,888
00018500,True,A flat square plate with a central circular hole and notched corners.,888
00012285,True,A ring with a triangular prism on top.,888
00017229,True,A curved bracket with cylindrical ends and a central arch.,888
00015836,True,A T-shaped bracket with three mounting holes and a central vertical extension.,888
00017220,True,A curved bracket with cylindrical ends and a central arch.,888
00015502,True,An L-shaped bracket with multiple holes for mounting.,888
00014182,True,A cylindrical post with a flared base and a recessed top.,888
00018460,True,A Y-shaped bracket with a central circular feature and curved arms.,888
00018404,True,"A long, slender rod with a cross-shaped cross-section.",888
00018443,True,A cylindrical rod with a tapered end and a central hole.,888
00013450,True,A flat rectangular plate with two square protrusions on one side.,888
00019238,True,A hexagonal nut with a central threaded hole.,888
00017332,True,"A block with a vertical backrest, a sloped front, and a central circular hole.",888
00018876,True,A thick toroidal ring with a central hole.,888
00015682,True,A cylindrical block with a cross-shaped cutout on the top surface.,888
00011562,True,A rectangular block with a circular through hole on one face.,888
00017734,True,An L-shaped bracket with a slotted hole on one face and circular holes on the other.,888
00015259,True,A square block with a central cutout and a cylindrical rod extending from one face.,888
00010242,True,A hollow rectangular prism with rounded edges and a square opening on each end.,888
00010186,True,A flat rectangular block with a stepped cutout on one side and two supporting legs.,888
00013078,True,A curved bracket with a central notch and a flared base.,888
00012888,True,A tapered square rod with a central square hole.,888
00017984,True,A cylindrical rod.,888
00010095,True,A flat rectangular plate.,888
00015315,True,A cylindrical plug with a central groove and a recessed top surface.,888
00010624,True,A rectangular block with two raised rectangular prongs on one end.,888
00015577,True,"A cylindrical ring with two flat, angled extensions and a rectangular protrusion.",888
00010395,True,An L-shaped bracket with a large circular hole and a smaller mounting hole.,888
00017008,True,A tapered cylindrical component with an elongated arm featuring a circular hole at one end.,888
00014222,True,A cylindrical component with a smaller cylindrical shaft protruding from one end and a flange with bolt holes on the other.,888
00019536,True,A conical object with a central cylindrical protrusion and a flat circular base.,888
00015710,True,A cylindrical rod with a series of evenly spaced circular holes along its length.,888
00014365,True,"A block with a U-shaped cutout, two through holes, and an angled side.",888
00011904,True,"A flat, rounded rectangular plate with multiple holes, including a central circular pattern.",888
00019594,True,An L-shaped bracket with a circular hole at one end.,888
00012379,True,A circular ring with two mounting tabs and holes.,888
00019505,True,A rectangular frame with a central circular cutout and two side cutouts.,888
00015638,True,A series of cylindrical rods arranged in a radial pattern.,888
00010512,True,A cylindrical block with two parallel through holes and a connecting bridge between them.,888
00017375,True,A U-shaped bracket with two circular holes on the base and raised side walls.,888
00011772,True,A diamond-shaped plate with five circular holes.,888
00014895,True,"Two rectangular blocks, one larger and one smaller, with the larger block having a hollow section.",888
00017412,True,A cylindrical rod with a hexagonal flange and a circular base.,888
00011779,True,A curved bracket with two mounting holes and a central notch.,888
00011538,True,An L-shaped bracket with a circular hole near one end.,888
00018320,True,A U-shaped bracket with flared edges and a central recessed section.,888
