model_id,isDescribable,description
00076875,True,"A planar rectangular plate characterized by its flat geometry, exhibiting uniform thickness across its entirety, designed for various potential applications within engineering and design contexts."
00070942,True,"A cylindrical annular ring characterized by a circumferential groove that encircles its entire perimeter, providing a distinct geometric feature to its overall structure."
00080043,True,"A prismatic block characterized by a rectangular profile, culminating in a tapered end that gradually narrows, thereby enhancing its geometric complexity."
00051612,True,"A prismatic block characterized by an elongated, tapered geometry, featuring a recess at one terminus, designed to enhance its structural profile."
00106873,True,A planar L-shaped bracket characterized by an array of apertures designed for the purpose of secure attachment.
00096490,True,A planar L-shaped bracket characterized by the presence of five annular apertures.
00012924,True,"A geometrically configured L-shaped bracket featuring an annular aperture on each of its extending arms, designed to facilitate various potential applications."
00096762,True,A prismatic block characterized by three recessed rectangular apertures located on one of its lateral surfaces.
00063175,True,A cylindrical entity characterized by the presence of two distinct grooves and a central aperture extending through its entirety.
00034008,True,"A cylindrical rod characterized by a conical apex and an annular flange at its base, exhibiting a harmonious integration of geometric forms."
00093603,True,"A cylindrical rod positioned atop a flat circular disc, integrally connected to a wedge-shaped base, forms a cohesive geometric assembly."
00025153,True,"A planar rectangular plate featuring four apertures uniformly distributed across its surface, designed for potential integration into various structural applications."
00030430,True,"A cylindrical entity characterized by a central aperture and planar extremities, exhibiting a uniform cross-sectional profile throughout its length."
00089139,True,A prismatic block characterized by a stepped base configuration and an extending tab feature on one lateral surface.
00043483,True,"A prismatic block characterized by a wedge-shaped terminus, exhibiting a geometric configuration that seamlessly integrates both rectangular and inclined facets."
00020618,True,"A cylindrical rod characterized by a flanged base and a top exhibiting a stepped configuration, presenting a distinct transition in elevation."
00068237,True,A cylindrical rod featuring an annular flange and an integrated mounting bracket characterized by a singular aperture.
00085455,True,"A prismatic block featuring a cylindrical protrusion extending from one of its lateral surfaces, characterized by its distinct geometric configuration."
00062715,True,A planar triangular plate featuring a central vertical support structure and an inclined base surface.
00076636,True,"A prismatic rectangular block featuring an overlaid triangular prism, creating a composite geometric structure characterized by distinct planar and angular surfaces."
00105675,True,"A prismatic block characterized by the presence of four cylindrical protrusions extending from a singular face, thereby enhancing its geometric complexity."
00056428,True,"A cylindrical rod characterized by the presence of two distinct flanges, each serving as integral features that enhance the overall structural configuration of the component."
00051515,True,A planar square plate featuring a central annular aperture and two additional smaller perforations.
00024468,True,"A planar quadrilateral plate characterized by its uniform flatness and equidistant edges, presenting a geometric configuration that adheres to the properties of a square."
00066493,True,"A prismatic block characterized by a recess on one of its lateral faces, exhibiting a stepped configuration that delineates its geometric profile."
00045688,True,"A prismatic block characterized by a rectangular cross-section, culminating in a tapered end that gradually narrows, thereby defining its distinct geometric profile."
00050358,True,"A prismatic block exhibiting a tapered configuration, characterized by its rectangular cross-section, designed to facilitate a gradual reduction in width along its longitudinal axis."
00052624,True,A planar rectangular substrate incorporating a prismatic rectangular projection and featuring two circular apertures.
00060363,True,"A geometrically L-shaped rod featuring a short, orthogonal extension at one terminus, designed to exhibit distinct angularity in its overall configuration."
00031019,True,"A rectangular framework characterized by an expansive base flange, providing a robust foundation for structural integrity and dimensional stability."
00039003,True,"A prismatic block characterized by a planar base and an inclined upper surface, exhibiting a wedge-like configuration."
00096081,True,"A planar rectangular plate featuring a hexagonal aperture at one extremity, characterized by its flat geometry and defined cutout profile."
00032555,True,A cylindrical disc characterized by a central aperture and an elevated annular section.
00070738,True,A prismatic block characterized by a planar base and an axial through hole extending centrally throughout its volume.
00016936,True,"A hollow cylindrical vessel characterized by an annular form and a robust, thickened base, designed to exhibit a substantial structural integrity."
00086395,True,"A robust prismatic block characterized by a distinctive Z-shaped configuration, exhibiting a uniform thickness throughout its entirety."
00077239,True,A prismatic block featuring a cylindrical rod affixed atop its surface and an annular aperture extending through the entirety of the block.
00014244,True,"A cylindrical rod characterized by a planar upper surface and a subtly conical lower section, exhibiting a gradual reduction in diameter towards its base."
00067343,True,"A prismatic block featuring a U-shaped recess and a recessed groove on one of its faces, delineating distinct geometric characteristics."
00021157,True,"A prismatic bracket featuring a central annular aperture and a recessed cutout, designed to accommodate specific geometric configurations while maintaining structural integrity."
00078788,True,"A bracket-like component characterized by a curved hook and an integrated mounting aperture, designed to facilitate attachment in various structural applications."
00042506,True,A prismatic block characterized by a tapered terminal section and an additional diminutive rectangular segment affixed atop its principal body.
00051472,True,A planar rectangular plate characterized by the presence of diminutive notches along its periphery.
00088010,True,"A cylindrical clamp featuring a semi-circular recess and two integral mounting apertures, designed to accommodate various assembly requirements while maintaining structural integrity."
00083603,True,A cylindrical rod characterized by a series of longitudinal grooves and featuring a centrally located aperture.
00077833,True,"A cylindrical disc characterized by the presence of a central through hole, forming a singular geometric entity conducive to various applications in engineering and design."
00102598,True,"A prismatic block characterized by a curved rectangular profile, featuring a centrally positioned slot and tapering extremities at both ends."
00095505,True,"A cylindrical conduit connector featuring a central annular flange and an interior characterized by a hollow configuration, facilitating fluid passage through its unobstructed central void."
00074529,True,"A cylindrical sleeve characterized by external grooves and featuring a central through hole, designed to facilitate the passage of materials or fluids through its axis."
00106982,True,"A tapered cylindrical rod characterized by distinct stepped sections, exhibiting a progressive variation in diameter along its length, thereby enhancing its geometric complexity."
00049189,True,"A cylindrical rod characterized by a tapering section, exhibiting a gradual reduction in diameter along a specified length, thereby enhancing its geometric profile."
00064450,True,A planar rectangular plate featuring a rectangular aperture and a diminutive circular orifice.
00048572,True,"A cylindrical annular sleeve characterized by a central void, exhibiting a hollow interior that defines its geometric configuration."
00042065,True,"A cylindrical rod characterized by the presence of a central through hole, facilitating a continuous passage along its longitudinal axis."
00061565,True,"A hollow cylindrical tube characterized by its annular geometry, exhibiting a uniform cross-section throughout its length, designed to facilitate various applications requiring a tubular configuration."
00043642,True,"A planar, tapered rectangular plate characterized by apertures located at each of its corners."
00052268,True,"A cylindrical rod characterized by its elongated form, culminating in a conical tip that tapers to a pointed apex, facilitating a streamlined geometry."
00017772,True,"A solid cylindrical rod characterized by its uniform cross-sectional geometry, exhibiting a continuous, elongated form that extends uniformly along its central axis."
00065593,True,"A prismatic block characterized by a rectangular cross-section, culminating in a tapered end, exhibiting a gradual reduction in width towards its terminal edge."
00064247,True,"A prismatic block characterized by a planar base and an inclined upper surface, exhibiting a wedge-like configuration."
00043815,True,"A U-shaped bracket featuring a central recess and two vertically oriented side walls, designed to provide structural integrity and functionality within its specified geometry."
00049636,True,"A bracket exhibiting an L-shaped configuration, characterized by the presence of multiple apertures designed for the purpose of secure attachment."
00065257,True,"An elongated planar plate characterized by rounded extremities, incorporating a diminutive cylindrical protuberance and an aperture positioned adjacent to one terminus."
00044029,True,"A hollow, curvilinear shell-like structure characterized by a smoothly rounded edge, exhibiting an elegant form that encapsulates a void within its contoured geometry."
00098320,True,A planar annular lid characterized by four rectangular apertures strategically positioned adjacent to the periphery.
00027448,True,A planar circular disc characterized by the presence of four diminutive apertures positioned in proximity to its periphery.
00076452,True,A planar rectangular plate featuring two circular apertures.
00020151,True,"A cylindrical rod characterized by a hexagonal socket head and an annular flanged base, exhibiting a distinct geometric configuration conducive to various applications."
00051379,True,A cylindrical rod featuring a planar circular flange and four outwardly extending pins.
00027630,True,"An annular ring characterized by a flanged base, exhibiting a cylindrical geometry that facilitates structural integrity and dimensional stability."
00049602,True,"A geometrically defined L-shaped bracket characterized by a horizontal support element, designed to provide structural integrity in various configurations."
00038876,True,"A cylindrical rod featuring a flanged base and an elegantly rounded tip, meticulously designed to maintain its geometric integrity throughout its length."
00108935,True,"A prismatic container characterized by a tapered rectangular profile, featuring an open upper section and a centrally located horizontal seam."
00020740,True,"A cylindrical rod featuring a flanged base and an additional, smaller cylindrical extension positioned atop the primary structure, exhibiting a cohesive geometric configuration."
00031782,True,"A conical spike characterized by a tapered profile and an elegantly rounded base, exhibiting a seamless transition between the two distinct geometric features."
00020393,True,"A cylindrical rod featuring a flanged base and an additional, smaller cylindrical section positioned superiorly, exhibiting a distinct geometric configuration."
00064368,True,"A T-shaped bracket featuring a cylindrical protrusion extending from one side, characterized by its distinct geometric configuration and structural integrity."
00019855,True,"A planar rectangular framework characterized by its rounded corners, presenting a smooth and continuous contour throughout its perimeter."
00083705,True,"A planar rectangular plate characterized by its flat geometry, exhibiting uniform thickness across its entirety, serving as a fundamental structural element in various applications."
00022668,True,A planar rectangular plate characterized by the presence of three apertures.
00046688,True,A cylindrical rod characterized by a conical apex and an annular flange at its base.
00057964,True,A prismatic block characterized by the presence of two annular apertures situated on one of its lateral faces.
00043340,True,"A cylindrical rod characterized by a conical apex and an annular flange at its base, exhibiting a harmonious integration of geometric forms."
00050789,True,"A cylindrical rod characterized by its elongated, uniform geometry, exhibiting a consistent cross-sectional profile throughout its length, designed for various applications in mechanical and structural contexts."
00076534,True,A prismatic block characterized by a cylindrical aperture extending through one of its faces.
00046445,True,"A planar rectangular plate characterized by its flat geometry, exhibiting a uniform surface profile and defined by its length and width dimensions."
00022634,True,A prismatic block characterized by the presence of three aligned apertures arranged sequentially along its longitudinal axis.
00102172,True,"A U-shaped bracket featuring rectangular apertures on either side, characterized by its distinctive geometry that facilitates specific spatial configurations."
00029699,True,"A U-shaped bracket featuring a foundational base and an annular aperture, designed to accommodate specific geometric requirements while maintaining structural integrity."
00035883,True,"A quadrilateral frame characterized by its equal-length sides, forming a geometric configuration that embodies the principles of symmetry and structural integrity."
00011083,True,"A cylindrical rod characterized by a conical apex and an annular flange at its base, exhibiting a seamless transition between its distinct geometric features."
00067281,True,"A hollow cylindrical vessel characterized by a conical taper, exhibiting a continuous curvature from the base to the rim, resulting in a refined and elegant profile."
00059873,True,A cylindrical disc featuring a central aperture and four peripheral smaller apertures arranged around its circumference.
00076286,True,"A hollow cylindrical vessel characterized by a subtly tapered morphology, exhibiting a continuous annular form throughout its structure."
00015225,True,"A planar, elongated bracket characterized by two annular extremities and featuring triangular recesses along its length."
00081678,True,"A prismatic block characterized by its rectangular geometry, exhibiting uniform dimensions across its length, width, and height, thereby defining its fundamental structural form."
00042946,True,"A rectangular tray characterized by elevated, rounded extremities and incorporating apertures for mounting purposes."
00071772,True,"A cylindrical disc characterized by the presence of a centrally located aperture, forming a geometric configuration that integrates both a solid annular body and a central void."
00014732,True,"A bracket featuring an annular aperture and an inclined support structure, designed to provide enhanced structural integrity while maintaining a streamlined geometric profile."
00076376,True,"A cylindrical rod characterized by a tapered geometry, exhibiting a gradual decrease in diameter along its length, thereby presenting a conical profile."
00034944,True,A cylindrical rod featuring a planar circular head and a diminutive rectangular protrusion extending from its surface.
00034240,True,"An annular structure characterized by a substantial thickness, featuring a central aperture and an extended flanged perimeter."
00068789,True,"A V-shaped bracket characterized by a planar base and inclined lateral surfaces, designed to provide structural support through its unique geometric configuration."
00074556,True,A prismatic block characterized by a centrally located aperture on one of its planar surfaces.
00085439,True,"A planar rectangular plate characterized by its flat geometry, exhibiting uniform dimensions across its length and width, thereby defining a two-dimensional surface."
00089773,True,"A hollow cylindrical tube characterized by its annular geometry, exhibiting a continuous, unbroken surface that defines its internal void and external contour."
00059744,True,A cylindrical component characterized by a central aperture and an annular flanged section situated at its midpoint.
00057702,True,"A curved bracket characterized by a planar base and an arcuate upper edge, exhibiting a seamless transition between its distinct geometric features."
00071679,True,A U-shaped bracket featuring an annular post positioned atop and incorporating a central aperture.
00017317,True,"A U-shaped bracket featuring two annular apertures situated on the base, complemented by elevated lateral walls that define its structural integrity."
00019998,True,"A planar quadrilateral plate characterized by its uniform flatness and equidistant vertices, presenting a two-dimensional geometric configuration."
