model_id,isDescribable,description
00076875,True,Rectangular plate
00070942,True,Cylindrical ring
00080043,True,Rectangular block
00051612,True,Tapered rectangular block
00106873,True,L-shaped bracket
00096490,True,L-shaped bracket
00012924,True,L-shaped bracket
00096762,True,Rectangular block
00063175,True,Cylindrical object
00034008,True,Cylindrical rod
00093603,True,Cylindrical rod on disc
00025153,True,Rectangular plate
00030430,True,Cylindrical object
00089139,True,Rectangular block
00043483,True,Rectangular block
00020618,True,Cylindrical rod
00068237,True,Cylindrical rod
00085455,True,Rectangular block
00062715,True,Triangular plate
00076636,True,Rectangular block with prism
00105675,True,Rectangular block
00056428,True,Cylindrical rod
00051515,True,Square plate
00024468,True,Square plate
00066493,True,Rectangular block
00045688,True,Rectangular block
00050358,True,Rectangular block
00052624,True,Rectangular plate
00060363,True,L-shaped rod
00031019,True,Rectangular frame
00039003,True,Wedge block
00096081,True,Rectangular plate
00032555,True,Cylindrical disc
00070738,True,Cylindrical block
00016936,True,Cylindrical cup
00086395,True,Z-shaped block
00077239,True,Rectangular block with rod
00014244,True,Cylindrical rod
00067343,True,Rectangular block
00021157,True,Rectangular bracket
00078788,True,Curved bracket
00042506,True,Rectangular block
00051472,True,Rectangular plate
00088010,True,Cylindrical clamp
00083603,True,Cylindrical rod
00077833,True,Cylindrical disc
00102598,True,Curved rectangular block
00095505,True,Cylindrical pipe connector
00074529,True,Cylindrical sleeve
00106982,True,Cylindrical rod
00049189,True,Cylindrical rod
00064450,True,Rectangular plate
00048572,True,Cylindrical sleeve
00042065,True,Cylindrical rod
00061565,True,Cylindrical tube
00043642,True,Tapered rectangular plate
00052268,True,Cylindrical rod
00017772,True,Cylindrical rod
00065593,True,Rectangular block
00064247,True,Wedge block
00043815,True,U-shaped bracket
00049636,True,L-shaped bracket
00065257,True,Elongated plate
00044029,True,Hollow curved shell
00098320,True,Circular lid
00027448,True,Circular disc
00076452,True,Rectangular plate
00020151,True,Cylindrical rod
00051379,True,Cylindrical rod
00027630,True,Cylindrical ring
00049602,True,L-shaped bracket
00038876,True,Cylindrical rod
00108935,True,Tapered rectangular container
00020740,True,Cylindrical rod
00031782,True,Tapered spike
00020393,True,Cylindrical rod
00064368,True,T-shaped bracket
00019855,True,Rectangular frame
00083705,True,Rectangular plate
00022668,True,Rectangular plate
00046688,True,Cylindrical rod
00057964,True,Rectangular block
00043340,True,Cylindrical rod
00050789,True,Cylindrical rod
00076534,True,Rectangular block
00046445,True,Rectangular plate
00022634,True,Rectangular block
00102172,True,U-shaped bracket
00029699,True,U-shaped bracket
00035883,True,Square frame
00011083,True,Cylindrical rod
00067281,True,Cylindrical cup
00059873,True,Cylindrical disc
00076286,True,Cylindrical cup
00015225,True,Elongated bracket
00081678,True,Rectangular block
00042946,True,Rectangular tray
00071772,True,Cylindrical disc
00014732,True,Bracket with circular cutout
00076376,True,Cylindrical rod
00034944,True,Cylindrical rod
00034240,True,Thick flanged ring
00068789,True,V-shaped bracket
00074556,True,Rectangular block
00085439,True,Rectangular plate
00089773,True,Cylindrical tube
00059744,True,Cylindrical component
00057702,True,Curved bracket
00071679,True,U-shaped bracket
00017317,True,U-shaped bracket
00019998,True,Square plate
00061744,True,Cylindrical cup
00026066,True,Cylindrical rod
00035167,True,Rectangular plate
00065238,True,Cylindrical cap
00021031,True,Circular flange
00016282,True,Cylindrical rod
00099911,True,L-shaped bracket
00022639,True,Cylindrical rod
00012454,True,L-shaped bracket
00032743,True,Circular disc with rod
00058225,True,Cylindrical rod
00015849,True,Cylindrical rod
00014965,True,Rectangular block with prism
00055571,True,Cylindrical cup
00069077,True,Rounded square plate
00075735,True,Flat bracket
00016027,True,Hemispherical bowl
00053742,True,Rectangular plate
00012957,True,Rectangular block
00056492,True,Cylindrical cup
00044309,True,Cylindrical rod
00082180,True,Cylindrical rod
00047190,True,Split ring
00039054,True,Hexagonal nut
00026958,True,Square pyramid
00037450,True,Pyramid
